"year","traditional","specialty","total","wholesalers","tot.av5","perChgTot","prohibition"
2003,21,1608,1629,2180,1590,0.0342857142857143,0
2004,22,1613,1635,2191,1638.4,0.00368324125230202,0
2005,21,1591,1612,2132,1684.4,-0.0140672782874618,0
2006,20,1721,1741,2092,1737.8,0.0800248138957815,0
2007,20,1785,1805,2095,1797.4,0.0367604824813326,0
2008,20,1876,1896,2099,1901.2,0.050415512465374,0
2009,20,1913,1933,2070,2014.8,0.0195147679324894,0
2010,20,2111,2131,2043,2204,0.102431453698914,0
2011,0,0,2309,2039,NA,0.0835288596902863,0
2012,0,0,2751,0,NA,0.191424859246427,0
